Customer,Count of Customer,Count of Pre Customer,Perc_transac_change,Post TRAN_AMT,Pre TRAN_AMT,Perce_Amnt_change
360414519,17877,15,119080.00%,164643072180.83002,₦114164900.00,144115.14%
370027443,17877,15,119080.00%,164643072180.83002,₦145077000.00,113386.68%
423008685,17877,15,119080.00%,164643072180.83002,₦96836110.00,169922.39%
440441397,17877,15,119080.00%,164643072180.83002,₦359586250.00,45686.81%
440442901,17877,15,119080.00%,164643072180.83002,₦429380530.00,38244.33%
443416517,17877,15,119080.00%,164643072180.83002,₦117246000.00,140325.32%
562429012,17877,15,119080.00%,164643072180.83002,₦118118000.00,139288.64%
577414342,17877,15,119080.00%,164643072180.83002,₦156885000.00,104845.07%
592431726,17877,15,119080.00%,164643072180.83002,₦125000000.00,131614.46%
617006031,17877,15,119080.00%,164643072180.83002,₦113505000.00,144953.59%
630409305,17877,15,119080.00%,164643072180.83002,₦157283500.00,104579.18%
684406447,17877,15,119080.00%,164643072180.83002,₦121889845.00,134975.30%
750409905,17877,15,119080.00%,164643072180.83002,₦112809460.00,145847.93%
767424265,17877,15,119080.00%,164643072180.83002,₦96615000.00,170311.50%
794403048,17877,15,119080.00%,164643072180.83002,₦75150000.00,218985.92%
110096415,17877,14,127592.86%,164643072180.83002,₦174352200.00,94331.31%
175440892,17877,14,127592.86%,164643072180.83002,₦70000000.00,235104.39%
250020079,17877,14,127592.86%,164643072180.83002,₦133597000.00,123138.60%
340016013,17877,14,127592.86%,164643072180.83002,₦106000000.00,155223.65%
341431192,17877,14,127592.86%,164643072180.83002,₦112927800.00,145694.99%
343417983,17877,14,127592.86%,164643072180.83002,₦109232600.00,150627.05%
356409795,17877,14,127592.86%,164643072180.83002,₦70000000.00,235104.39%
362004757,17877,14,127592.86%,164643072180.83002,₦91095000.00,180637.77%
411011281,17877,14,127592.86%,164643072180.83002,₦104048500.00,158136.85%
439409562,17877,14,127592.86%,164643072180.83002,₦70000000.00,235104.39%
576410605,17877,14,127592.86%,164643072180.83002,₦97919500.00,168041.25%
609411429,17877,14,127592.86%,164643072180.83002,₦142419925.00,115503.96%
618006097,17877,14,127592.86%,164643072180.83002,₦79550000.00,206868.04%
645418152,17877,14,127592.86%,164643072180.83002,₦70000000.00,235104.39%
682001852,17877,14,127592.86%,164643072180.83002,₦83368090.00,197389.32%
714000488,17877,14,127592.86%,164643072180.83002,₦141380000.00,116354.29%
745400517,17877,14,127592.86%,164643072180.83002,₦91361000.00,180111.55%
754409540,17877,14,127592.86%,164643072180.83002,₦70000000.00,235104.39%
160009449,17877,13,137415.38%,164643072180.83002,₦102869330.00,159950.69%
162014407,17877,13,137415.38%,164643072180.83002,₦125235000.00,131367.30%
175004181,17877,13,137415.38%,164643072180.83002,₦65000000.00,253197.03%
216401060,17877,13,137415.38%,164643072180.83002,₦88800000.00,185308.87%
220415843,17877,13,137415.38%,164643072180.83002,₦207258910.00,79338.36%
250034844,17877,13,137415.38%,164643072180.83002,₦125163530.00,131442.37%
252025829,17877,13,137415.38%,164643072180.83002,₦94220195.00,174642.87%
252433454,17877,13,137415.38%,164643072180.83002,₦83150000.00,197907.30%
274410827,17877,13,137415.38%,164643072180.83002,₦65000000.00,253197.03%
312011859,17877,13,137415.38%,164643072180.83002,₦69020000.00,238444.00%
324006762,17877,13,137415.38%,164643072180.83002,₦82796000.00,198753.90%
336405258,17877,13,137415.38%,164643072180.83002,₦77072000.00,213522.42%
